"Bitcoin Diamond
(BCD)","1.74
USD"
"Noah Coin
(NOAH)","0.001426
USD"
"Aeternity
(AE)","1.39
USD"
"HorusPay
(HORUS)","0.014645
USD"
"Bloom
(BLT)","0.170377
USD"
"Envion
(EVN)","0.038413
USD"
"Bitcoin Green
(BITG)","1.99
USD"
"TenX
(PAY)","0.568032
USD"
"ChatCoin
(CHAT)","0.012859
USD"
"Quantum Resistant Ledger
(QRL)","0.253024
USD"
"GINcoin
(GIN)","2.11
USD"
"VIBE
(VIBE)","0.077040
USD"
"IHT Real Estate Protocol
(IHT)","0.025975
USD"
"FLO
(FLO)","0.038053
USD"
"Mixin
(XIN)","125.84
USD"
"Blocknet
(BLOCK)","3.70
USD"
USD"

2
USD"
"Jibrel Network
(JNT)","0.115017
USD"
"Medicalchain
(MTN)","0.022439
USD"
"Blocktix
(TIX)","0.225209
USD"
D"
D"
OC
(AVINOC)","0.013545
USD"
"WaBi
(WABI)","0.261840
USD"
"GoChain
(GO)","0.045648
USD"
"Dent
(DENT)","0.002181
USD"
"aelf
(ELF)","0.338633
USD"
"VeChain
(VET)","0.011487
USD"
"IOST
(IOST)","0.012135
USD"
"XRP
(XRP)","0.458563
USD"
"Eden
(EDN)","0.017414
USD"
"Burst
(BURST)","0.008363
USD"
"YOYOW
(YOYOW)","0.031562
USD"
"Cashaa
(CAS)","0.010761
USD"
"Vertcoin
(VTC)","0.694687
USD"
"carVertical
(CV)","0.001242
USD"
"INS Ecosystem
(INS)","0.501871
USD"
"Bezant
(BZNT)","0.034243
USD"
"Apex
(CPX)","0.029463
USD"
"Zcash
(ZEC)","125.61
USD"
"TokenPay
(TPAY)","1.25
USD"
"ColossusXT
(COLX)","0.000517
USD"
"KuCoin Shares
(KCS)","1.07
USD"
"Pillar
(PLR)","0.109485
USD"
"GXChain
(GXS)","1.40
USD"
"Shift
(SHIFT)","0.556539
USD"
"Tierion
(TNT)","0.031672
USD"
"Distributed Credit Chain
(DCC)"Dignity
(DIG)","0.038099
USD"
"Neblio
(NEBL)","1.95
USD"
"Odyssey
(OCN)","0.011368
USD"
"Blue Whale Token
(BWX)","0.000274
USD"
"ToaCoin
(TOA)","0.001614
USD"
"DAPS Token
(DAPS)","0.000260
USD"
"Particl
(PART)","2.22
USD"
"SPINDLE
(SPD)","0.001763
USD"
"Steem Dollars
(SBD)","1.00
USD"
"Linkey
(LKY)","0.727408
USD"
"Playgroundz
(IOG)","0.363876
USD"
"Gold Bits Coin
(GBC)","0.123628
USD"
"NKN
(NKN)","0.051079
USD"
"Olympus Labs
(MOT)","0.164443
USD"
"LGO Exchange
(LGO)","0.084790
USD"
"UNIVERSAL CASH
(UCASH)","0.000513
USD"
"Telcoin
(TEL)","0.000841
USD"
"Einsteinium
(EMC2)","0.090923
USD"
"Game.com
(GTC)","0.024938
USD"
"Novacoin
(NVC)","3.58
USD"
"CloakCoin
(CLOAK)","2.62
USD"
"FansTime
(FTI)","0.001944
USD"
"Ark
(ARK)","0.775043
USD"
"Byteball Bytes
(GBYTE)","42.99
USD"
"INO COIN
(INO)","0.346192
USD"
"NAGA
(NGC)","0.227156
USD"
"Primas
(PST)","0.234325
USD"
"Bitcoin Interest
(BCI)","0.974012
USD"
"Linda
(LINDA)","0.001295
USD"
"Factom
(FCT)","4.17
USD"
"district0x
(DNT)","0.025351
USD"
"DACSEE
(DACS)","0.005570
USD"
"Global Social Chain
(GSC)","0.012934
USD"
"UpToken
(UP)","0.032303
USD"
"adToken
(ADT)","0.014657
USD"

USD"
NLG)""Fusion
(FSN)","0.797848
USD"
"PACcoin
($PAC)","0.002171
USD"
"HyperCash
(HC)","1.88
USD"
"Streamr DATAcoin
(DATA)","0.038979
USD"
"VINchain
(VIN)","0.013240
USD"
"Mass Vehicle Ledger
(MVL)","0.001874
USD"
"Aeon
(AEON)","0.532176
USD"
"Nano
(NANO)","2.11
USD"
"FirstBlood
(1ST)","0.080955
USD"
"Bodhi
(BOT)","0.104919
USD"
"PAYCENT
(PYN)","0.131447
USD"
"Chronobank
(TIME)","7.77
USD"
"Rise
(RISE)","0.032682
USD"
"UTRUST
(UTK)","0.035174
USD"
"Cosmo Coin
(COSM)","0.026401
USD"
"Bitcoin Atom
(BCA)","0.288518
USD"
"Timicoin
(TMC)","0.034135
USD"
"Golos
(GOLOS)","0.027111
USD"
"Lunyr
(LUN)","4.95
USD"
"AI Doctor
(AIDOC)","0.011409
USD"
"SALT
(SALT)","0.743102
USD"
"Metal
(MTL)","0.694193
USD"
"MOAC
(MOAC)","1.16
USD"
"Bean Cash
(BITB)","0.003008
USD"
"Huobi Token
(HT)","1.63
USD"
"MediShares
(MDS)","0.018263
USD"
"TrustNote
(TTT)","0.013198
USD"
"ION
(ION)","0.577920
USD"
"Enigma
(ENG)","0.602878
USD"
"STK
(STK)","0.013057
USD"
"SpankChain
(SPANK)","0.059367
USD"
"Pascal Coin
(PASC)","0.379494
USD"
"Syscoin
(SYS)","0.098449
USD"
"Populous
(PPT)","3.47
USD"
"Internet Node Token
(INT)","0.029142
USD"
"TomoChain
(TOMO)","0.478975
USD"
"Iconomi
(ICN)","0.361331
USD"
"Bulwark
(BWK)","0.663212
USD"
"Xaurum
(XAUR)","0.042302
USD"
"LATOKEN
(LA)","0.078908
USD"
"GridCoin
(GRC)","0.010004
USD"
"Aurora DAO
(AURA)","0.067417
USD"
"Winding Tree
(LIF)","0.343297
USD"
"KickCoin
(KICK)","0.022073
USD"
"BOScoin
(BOS)","0.050994
USD"
"Incent
(INCNT)","0.079509
USD"
"Cindicator
(CND)","0.028073
USD"
"Scry.info
(DDD)","0.069311
USD"
"Mithril
(MITH)","0.249270
USD"
"Ecoreal Estate
(ECOREAL)","0.063453
USD"
"Pura
(PURA)","0.031723
USD"
"Ulord
(UT)","0.116926
USD"
"Zilliqa
(ZIL)","0.034588
USD"
"SafeInsure
(SINS)","5.15
USD"
"Bitcoin Cash
(BCH)","444.81
USD"
"Dogecoin
(DOGE)","0.004523
USD"
"SophiaTX
(SPHTX)","0.067555
USD"
"DomRaider
(DRT)","0.006008
USD"
"Safe Exchange Coin
(SAFEX)","0.011554
USD"
"WePower
(WPR)","0.030424
USD"
"BrahmaOS
(BRM)","0.005404
USD"
"Aston
(ATX)","0.019059
USD"
"Dropil
(DROP)","0.003188
USD"
"Etherparty
(FUEL)","0.021637
USD"
"Clams
(CLAM)","1.51
USD"
"Etheroll
(DICE)","0.453647
USD"
"Ruff
(RUFF)","0.023367
USD"
"Presearch
(PRE)","0.054915
USD"
"FunFair
(FUN)","0.014730
USD"
"Melon
(MLN)","10.49
USD"
"Remme
(REM)","0.006864
USD"
"Havven
(HAV)","0.127538
USD"
"Nuls
(NULS)","1.12
USD"
"EXRNchain
(EXRN)","0.000031
USD"
"ATN
(ATN)","0.113078
USD"
"Vipstar Coin
(VIPS)","0.000356
USD"
"Bibox Token
(BIX)","0.350687
USD"
"SCRL
(SCRL)","0.067783
USD"
"Metronome
(MET)","1.43
USD"
"Nerves
(NER)","0.001302
USD"
"Bitcoin Private
(BTCP)","2.44
USD"
"POA Network
(POA)","0.105583
USD"
"Bankex
(BKX)","0.068782
USD"
"Decision Token
(HST)","0.114273
USD"
"Dynamic Trading Rights
(DTR)","0.017082
USD"
"Ignis
(IGNIS)","0.039934
USD"
"Nucleus Vision
(NCASH)","0.004850
USD"
"DigixDAO
(DGD)","46.95
USD"
"Mozo Token
(MOZO)","0.004329
USD"
"Buggyra Coin Zero
 (BCZERO)","0.007971
USD"
"DeepOnion
(ONION)","0.339159
USD"
"CoinPoker
(CHP)","0.009853
USD"
"ICON
(ICX)","0.693901
USD"
"DIMCOIN
(DIM)","0.002236
USD"
"CargoX
(CXO)","0.020576
USD"
"Seele
(SEELE)","0.021747
USD"
"Insight Chain
(INB)","0.279511
USD"
"YEE
(YEE)","0.005461
USD"
"Shivom
(OMX)","0.004838
USD"
"Stellite
(XTL)","0.000645
USD"
"CVCoin
(CVN)","0.358821
USD"
"Namecoin
(NMC)","0.610540
USD"
"Diamond
(DMD)","1.92
USD"
"Experience Points
(XP)","0.000017
USD"
"Status
(SNT)","0.035829
USD"
"Maker
(MKR)","676.41
USD"
"CyberVein
(CVT)","0.016646
USD"
"CYCLEAN
(CCL)","0.005713
USD"
"EOS
(EOS)","5.38
USD"
"VITE
(VITE)","0.035698
USD"
"Ink Protocol
(XNK)","0.017140
USD"
"Power Ledger
(POWR)","0.183826
USD"
"Nexus
(NXS)","0.672028
USD"
"Clipper Coin
(CCCX)","0.002005
USD"
"SolarCoin
(SLR)","0.059903
USD"
"The Abyss
(ABYSS)","0.011058
USD"
"IXT
(IXT)","0.071807
USD"
"Energi
(NRG)","0.438174
USD"
"Skycoin
(SKY)","3.56
USD"

"Tolar
(TOL)","0.017419
USD"
"COPYTRACK
(CPY)","0.045841
USD"
"Proxeus
(XES)","0.016302
USD"
"NPER
(NPER)","0.037839
USD"
"Hydro Protocol
(HOT)","0.010542
USD"
"GeoCoin
(GEO)","1.15
USD"
"Smartlands
(SLT)","2.39
USD"
"Edgeless
(EDG)","0.155125
USD"
"CanYaCoin
(CAN)","0.050329
USD"
"Dovu
(DOV)","0.013567
USD"
"SONM
(SNM)","0.057616
USD"
"CyberMiles
(CMT)","0.120639
USD"
"OneLedger
(OLT)","0.007498
USD"
"Phantasma
(SOUL)","0.089307
USD"
"Quantstamp
(QSP)","0.042628
USD"
"IDEX Membership
(IDXM)","817.37
USD"
"Peercoin
(PPC)","0.824918
USD"
"NoLimitCoin
(NLC2)","0.014800
USD"
"Friendz
(FDZ)","0.004066
USD"
"BitDegree
(BDG)","0.005539
USD"
"Nebula AI
(NBAI)","0.002014
USD"
"Constellation
(DAG)","0.006810
USD"
"Own
(CHX)","0.036856
USD"
"HalalChain
(HLC)","0.019259
USD"

"PRIZM
(PZM)","0.209791
USD"

USD"
"
D"
"Moneytoken
(IMT)","0.000934
USD"
"Unikoin Gold
(UKG)","0.032719
USD"
"Stellar
(XLM)","0.244522
USD"
"UChain
(UCN)","0.005098
USD"
"Soarcoin
(SOAR)","0.006784
USD"
"Docademic
(MTC)","0.035295
USD"
"Gems
(GEM)","0.003109
USD"
"Eroscoin
(ERO)","0.020733
USD"
"Project Coin
(PRJ)","0.772730
USD"
"AdHive
(ADH)","0.012699
USD"
"Enjin Coin
(ENJ)","0.052591
USD"
"Capricoin
(CPC)","0.948419
USD"
"DAOstack
(GEN)","0.091725
USD"
"Curecoin
(CURE)","0.072262
USD"
"BlackCoin
(BLK)","0.063730
USD""Xriba
(XRA)","0.049504
USD"
5
USD"
"Viberate
(VIB)","0.046879
USD"


SD"

"StrongHands
(SHND)","1.5e-07
USD"
"Sumokoin
(SUMO)","0.120821
USD"
"EchoLink
(EKO)","0.008551
USD"
"NuBits
(USNBT)","0.100807
USD"
"Myriad
(XMY)","0.003043
USD"
"CanonChain
(CZR)","0.006298
USD"
"Ethereum Monero
(EXMR)","0.055598
USD"
"Anoncoin
(ANC)","1.55
USD"
"DeviantCoin
(DEV)","0.256431
USD"
"GoldCoin
(GLD)","0.029193
USD"
"HollyWoodCoin
(HWC)","0.148611
USD"
"Freyrchain
(FREC)","0.002326
USD"
"SelfSell
(SSC)","0.006778
USD"
"CoinFi
(COFI)","0.013377
USD"
"Alt.Estate token
(ALT)","0.001123
USD"
"Helbiz
(HBZ)","0.002591
USD"
"LogisCoin
(LGS)","4.91
USD"
"MetaMorph
(METM)","0.015341
USD"
"DAV Coin
(DAV)","0.004745
USD"
"EUNOMIA
(ENTS)","0.000045
USD"
"2GIVE
(2GIVE)","0.002973
USD"
"Colu Local Network
(CLN)","0.015737
USD"
"Modum
(MOD)","0.973031
USD"
"Sentinel Protocol
(UPP)","0.028145
USD"
"Stox
(STX)","0.069176
USD"
"Rentberry
(BERRY)","0.006510
USD"
"Merculet
(MVP)","0.001114
USD"
"Arbidex
(ABX)","0.063717
USD"
"LUXCoin
(LUX)","1.96
USD"
"Groestlcoin
(GRS)","0.545270
USD"
"Triggers
(TRIG)","0.119206
USD"
"Lina
(LINA)","0.086313
USD"
"Hexx
(HXX)","0.786363
USD"
"Origin Sport
(ORS)","0.018308
USD"
"HiCoin
(XHI)","0.000388
USD"
"Blackmoon
(BMC)","0.236116
USD"
"Elixir
(ELIX)","0.029668
USD"
"
"PetroDollar
(XPD)","0.018953
USD"
"XMax
(XMX)","0.000489
USD"
"BitWhite
(BTW)","0.014108
USD"
"TokenCard
(TKN)","0.463705
USD"
"Gene Source Code Chain
(GENE)","0.006137
USD"
"ZelCash
(ZEL)","0.062382
USD"
SD"

"Miners' Reward Token
(MRT)","0.109340
USD"
"nUSD
(NUSD)","0.986869
USD"
"ZPER
(ZPR)","0.004517
USD"
D"
"AdShares
(ADST)","0.188110
USD"
"Zebi
(ZCO)","0.012238
USD"
"VeriCoin
(VRC)","0.106018
USD"
"Auroracoin
(AUR)","0.120794
USD"
"CyberFM
(CYFM)","0.000019
USD"
"Vezt
(VZT)","0.043160
USD"
"Cruisebit
 (CRBT)","0.071464
USD"
"Ivy
(IVY)","0.014616
USD"
"TRONCLASSIC
(TRXC)","0.000003
USD"
box
(TBX)","0.058057
USD"
"Monkey Project
(MONK)","0.217048
USD"
"Lightpaycoin
(LPC)","0.594700
USD"
"Syndicate
(SYNX)","0.058146
USD"
"On.Live
(ONL)","0.073421
USD"
"Zeepin
(ZPT)","0.022552
USD"
"ATC Coin
(ATCC)","0.019077
USD"
"TrueChain
(TRUE)","0.445881
USD"
"MedicCoin
(MEDIC)","0.004484
USD"
"Denarius
(DNR)","0.301119
USD"
"FUTURAX
(FTXT)","0.000256
USD"
"POPCHAIN
(PCH)","0.007511
USD"
"MASTERNET
(MASH)","0.145029
USD"
"Bonpay
(BON)","0.052921
USD"
"Spectre.ai Utility Token
(SXUT)","0.087983
USD"
"smARTOFGIVING
(AOG)","0.097936
USD"
"Fire Lotto
(FLOT)","0.047396
USD"
"Forkcoin
(FORK)","0.466997
USD"
"HOLD
(HOLD)","0.001535
USD"
"Pepe Cash
(PEPECASH)","0.007329
USD"
"Measurable Data Token
(MDT)","0.007087
USD"
"Semux
(SEM)","0.487773
USD"
"Orbis Token
(OBT)","0.026441
USD"
"Cardstack
(CARD)","0.001811
USD"
"Payfair
(PFR)","0.010286
USD"
"0xcert
(ZXC)","0.004875
USD"
"savedroid
(SVD)","0.000725
USD"
"Gold Poker
(GPKR)","0.658990
USD"
"Bee Token
(BEE)","0.008197
USD"
"DPRating
(RATING)","0.000653
USD"
"Polis
(POLIS)","0.795973
USD"
"I/O Coin
(IOC)","0.200601
USD"
"Cryptopay
(CPAY)","0.024665
USD"
"Utrum
(OOT)","0.023772
USD"
"RealTract
(RET)","0.000261
USD"
"NeosCoin
(NEOS)","0.388926
USD"
"Snetwork
(SNET)","0.023513
USD"
"Digital Asset Guarantee Token
(DAGT)","0.051611
USD"
"Polybius
(PLBT)","1.54
USD"
"SnowGem
(XSG)","0.076391
USD"SHIELD
(XSH)","0.005432
USD"
"Zeusshield
(ZSC)","0.004154
USD"
maPay
(PMA)","0.000332
USD"
"Olive
(OLE)","0.006775
USD"

"Swisscoin
(SIC)","0.000258
USD"
"Apollon
(XAP)","0.010499
USD"
"LiteDoge
(LDOGE)","0.000058
USD"
"B3Coin
(KB3)","0.002002
USD"
"Dotcoin
(DOT)","0.010466
USD"
"Omnitude
(ECOM)","0.072146
USD"

"Pareto Network
(PARETO)","0.005327
USD"
"ATBCoin
(ATB)","0.021535
USD"
"FLIP
(FLP)","0.027336
USD"
"Humaniq
(HMQ)","0.027437
USD"
"Blocktrade Token
(BTT)","0.060787
USD"
"Morpheus.Network
(MRPH)","0.131922
USD"
"DopeCoin
(DOPE)","0.008302
USD"
"Universal Currency
(UNIT)","0.069817
USD"
"The ChampCoin
(TCC)","0.003506
USD"
"LALA World
(LALA)","0.005158
USD"
"Snovian.Space
(SNOV)","0.005061
USD"
"Proton Token
(PTT)","0.000390
USD"
"Internxt
(INXT)","2.18
USD"
"TrueFlip
(TFL)","0.386972
USD"
"Fluz Fluz
(FLUZ)","0.005585
USD"
"Coinvest
(COIN)","0.248700
USD"
"Pylon Network
(PYLNT)","1.40
USD"
"BunnyToken
(BUNNY)","0.004458
USD"
"Paragon
(PRG)","0.039090
USD"
"Travala
(AVA)","0.066339
USD"
"Thrive Token
(THRT)","0.007984
USD"
"SRCOIN
(SRCOIN)","0.000621
USD"
"FoldingCoin
(FLDC)","0.003101
USD"
"Datum
(DAT)","0.004107
USD"

USD"
"Wispr
(WSP)","0.024827
USD"

"Matryx
(MTX)","0.077579
USD"
USD"
"ProChain
(PRA)","0.066126
USD"
"Ethbits
(ETBS)","0.775268
USD"
"Karma
(KRM)","0.001929
USD"
"MaxCoin
(MAX)","0.025842
USD"
"OWNDATA
(OWN)","0.000474
USD"
"EventChain
(EVC)","0.027884
USD"
"BitRent
(RNTB)","0.001799
USD"
"Rubycoin
(RBY)","0.232079
USD"
"Blue Protocol
(BLUE)","0.037778
USD"
"Matchpool
(GUP)","0.045363
USD"
"LOCIcoin
(LOCI)","0.022546
USD"
"RealChain
(RCT)","0.003359
USD"
"IP Exchange
(IPSX)","0.001363
USD"
"DxChain Token
(DX)","0.000333
USD"
"Daneel
(DAN)","0.035911
USD"
"Karbo
(KRB)","0.112956
USD"
"Credit Tag Chain
(CTC)","0.038305
USD"
"ACE (TokenStars)
(ACE)","0.059697
USD"
"Bitcoin Plus
(XBC)","4.34
USD"
"Autonio
(NIO)","0.032122
USD"
